ell; low_auto_ch0; low_auto_ch1; low_auto_ch2; high_horizontal_auto_ch0; high_horizontal_auto_ch1; high_horizontal_auto_ch2; high_vertical_auto_ch0; high_vertical_auto_ch1; high_vertical_auto_ch2; high_diagonal_auto_ch0; high_diagonal_auto_ch1; high_diagonal_auto_ch2; low_cross_ch0_ch1; low_cross_ch0_ch2; low_cross_ch1_ch2; high_horizontal_cross_ch0_ch1; high_horizontal_cross_ch0_ch2; high_horizontal_cross_ch1_ch2; high_vertical_cross_ch0_ch1; high_vertical_cross_ch0_ch2; high_vertical_cross_ch1_ch2; high_diagonal_cross_ch0_ch1; high_diagonal_cross_ch0_ch2; high_diagonal_cross_ch1_ch2
0.0; 8470.975721616875; 14705.04285769089; 3864.2773263043405; 198.6227027724116; 220.68156762587492; 258.00562482737456; 200.66814195869856; 220.27530811433448; 253.92668507011624; 146.5305972066571; 72.78622609291007; 250.8174498637969; -5184.226842134404; 4274.037343135905; -3726.0315563426193; -86.38844686046912; 75.0034186237262; -15.574617366123306; -86.98736875222563; 75.93082944581109; -15.945191835131263; -41.55714478517648; 65.13421518575117; -10.253811586406076
675.0; 2537.810836627632; 3117.9462223359; 1047.9539504889015; 275.05075890794194; 480.06621893334403; 276.0334373942009; 177.23996381680521; 146.85554020526368; 240.45078814352223; 149.79881237667854; 78.6359631707757; 249.7070613205353; -1304.7937371170171; 1222.3354371947946; -584.2370427958404; -154.9398556996166; 93.42695995293785; -31.64872521811264; -68.6468928897132; 70.49002245651067; -12.139285978655959; -43.80671000440256; 66.07981859511085; -10.689070222521451
1350.0; 921.732923441925; 1113.6172461441975; 517.9634273915545; 330.6637932209422; 639.1119756722849; 271.5284277566895; 160.5114633832567; 102.09166402911323; 239.08491933658465; 156.9803118196047; 90.34096972174243; 252.33038201014142; -520.9413594485692; 446.41861929835136; -233.0326912721159; -217.50223842609094; 109.11333666536558; -46.67116730291501; -56.419834614649304; 66.29415068254545; -9.68802416766805; -48.34599140013359; 68.16946799761097; -11.033355441566485
2025.0000000000002; 468.43661426148395; 505.9021036195295; 348.7887876598825; 364.613866488342; 651.3796665469397; 285.9558275881146; 148.7428600267291; 78.66831761170123; 238.09929332605506; 168.07243372016572; 104.84652216065633; 253.0805854481373; -266.58087240254207; 232.08997862950787; -121.64097031722679; -249.70250072265102; 116.37007484587164; -54.91020602192878; -48.42098449533652; 63.25395155435478; -8.141550425655582; -55.30363823555757; 70.73839292852459; -11.403272434245007
2700.0; 282.9385737073699; 263.2663426492121; 285.52035684300495; 392.079016333218; 607.0267602477755; 283.04840246436515; 138.2115700797499; 63.69281031677204; 237.62771888459915; 182.20646054504584; 119.92555803149857; 251.59880055570076; -152.1529790530889; 143.25850797646044; -70.23030297542799; -262.1896037431748; 121.2950425676009; -60.522351095594836; -42.10479226745366; 60.77975697036712; -6.972162912485873; -62.939949071873706; 73.89967070849556; -11.728027412357534
3375.0000000000005; 190.6058490790923; 152.6674583044472; 245.5330406579498; 413.6510009811296; 551.3059957483553; 295.2004562751008; 127.97122154666131; 53.15999711961892; 236.35895437705227; 195.74371407951207; 133.83841401033314; 251.20097564574075; -94.1765144210631; 98.94861052960634; -44.40374577150943; -264.221479691092; 125.09879241683755; -62.37592610105614; -36.887665238278686; 57.90838046514481; -6.288634585925934; -69.80105740488847; 76.69839091394664; -12.001765910531555
4050.0000000000005; 140.95284631710695; 99.32826998713892; 224.45324461591895; 428.45514134551814; 499.96946384629786; 289.4791407878744; 119.97247724671344; 46.076447018267345; 237.5065424779149; 207.3545987029314; 145.21374177468923; 251.8074040652484; -63.45580370768397; 74.89196478679688; -30.307372953311457; -260.7079291736514; 126.11875059731028; -63.267054567028936; -32.94584504204; 56.82355195428823; -5.834935353207163; -75.718605250453; 79.05805789770922; -12.172970987394613
4725.0; 116.27365550696715; 74.67562458396839; 224.08724328086205; 437.4392990861384; 467.8024923390386; 306.9558495222174; 114.97874721306182; 41.9729533168767; 237.47792322055622; 215.59774792730045; 153.54422945018928; 251.55618293238186; -48.311095800679; 63.34295394720919; -23.26777165063257; -256.32520113763593; 127.68514076839192; -63.716771898248616; -30.641964379295384; 56.558805348723375; -5.936118652948316; -80.10339592466798; 81.32453707016751; -12.787650800686995
5400.0; 108.6235813247391; 67.62915590593407; 219.14797689497024; 440.734918806262; 456.9157568151697; 307.4062607124686; 113.0420775155199; 40.68597361490797; 238.3976465886327; 218.2841925584116; 156.68272156216352; 251.7549717845469; -43.808516935423455; 59.39974561431833; -20.82432559594967; -256.1215669887772; 128.21288902320208; -64.37121558838733; -29.874283878884192; 57.115593397184256; -6.299814652730638; -81.96424380928971; 81.95464284042426; -13.040812191941853
675.0; 2566.1933915533855; 3143.7712015136426; 1049.4319781914755; 176.33862696642922; 146.87050167509824; 243.51538936372543; 276.108673820012; 480.9563162975792; 263.05272134051756; 149.64157087670148; 78.52943611505664; 250.6299814528953; -1329.5355757178081; 1232.7138250885414; -593.078605114581; -68.44875205441512; 69.99676854221329; -11.983412829687301; -156.16027739876793; 94.07781322008161; -31.54641065725094; -43.670490509974975; 65.89895664017347; -10.581593512939131
954.5941546018391; 1453.3818668807116; 1804.2942049142698; 679.9119337915038; 235.64572266590562; 348.5990765301544; 249.91434245399643; 236.14963364003805; 347.63565335162764; 245.65672821412588; 153.37260317812576; 90.1659555965609; 249.9733655919573; -794.918315828952; 695.909281719825; -355.3594860961436; -124.47618307789794; 84.05129418438794; -24.73967209151289; -124.17326873374286; 83.85705822366049; -24.463122869037637; -46.65026566651208; 66.80387377030286; -10.812982564681793
