ell; low_auto_ch0; high_horizontal_auto_ch0; high_vertical_auto_ch0; high_diagonal_auto_ch0
0.0; 206911.6859291545; 1335.7336245001597; 1325.1212724903696; 237.82050353408735
675.0; 44059.59468059891; 3089.5924686134554; 840.28013017797; 245.6323083289723
1350.0; 16000.721710853557; 4198.233868831726; 561.4935521778759; 258.98643355333905
2025.0000000000002; 7445.428421955967; 4310.791736595862; 430.0823501492552; 275.4507737872827
2700.0; 3963.7068392207066; 4014.4592743243957; 355.74389547989864; 295.3406482260056
3375.0000000000005; 2311.8429486820373; 3559.401863590422; 308.7181460671182; 317.6792554817361
4050.0000000000005; 1443.852511141506; 3119.883595904347; 276.1421557628805; 343.39559420594384
4725.0; 956.6899772407533; 2740.10530303522; 252.05090345338817; 371.84035869030373
5400.0; 671.1404565072182; 2434.6388475699614; 232.08247203358633; 402.67841916236574
6075.0; 494.0814938927333; 2188.694147194854; 214.12244442909062; 436.23842824092156
6750.000000000001; 380.8910461268774; 2005.682287755164; 198.1242671821786; 468.48227546648343
7425.0; 306.40323511554186; 1866.9289292094588; 185.6094046186466; 506.0481929325562
8100.000000000001; 257.11285987614303; 1767.9553648398537; 174.67855463355028; 544.5281391967834
8775.0; 224.71761959903523; 1703.2191362580138; 166.1808294177048; 583.1301471574477
9450.0; 204.2621054943763; 1664.5354588534342; 163.51793515072444; 639.6055492308866
10125.0; 192.9141686305526; 1648.0370179707838; 169.29783137018242; 723.2279863835214
10800.0; 189.11265306290758; 1643.7549271984892; 173.7824311677306; 759.6312730617452
675.0; 44425.91730599419; 846.5908992642616; 3090.7931591453157; 245.46034762773706
954.5941546018391; 25709.86879287966; 2225.06294546414; 2209.623301423426; 264.2559711213439
1509.345884812358; 11954.911457532127; 3526.8589740011944; 1294.7836951884115; 291.8069465541291
2134.537420613656; 6033.57886838238; 3893.0971934090985; 820.2513285817081; 313.3619498179863
2783.096297291921; 3304.180363428098; 3744.288001729691; 576.5822851622918; 332.7441644132413
