ell; low_auto_ch0; low_auto_ch1; high_horizontal_auto_ch0; high_horizontal_auto_ch1; high_vertical_auto_ch0; high_vertical_auto_ch1; high_diagonal_auto_ch0; high_diagonal_auto_ch1; low_cross_ch0_ch1; high_horizontal_cross_ch0_ch1; high_vertical_cross_ch0_ch1; high_diagonal_cross_ch0_ch1
0.0; 3858364.5837991126; 1828870.962939024; 14519.489541862755; 18634.39388285454; 14299.221714502608; 20311.952506163958; 83.00415675123455; 15612.846534055201; 1606784.4128963912; 4866.241646660543; 4579.100115184993; 18.982695470298925
168.75; 2228108.8135346826; 363444.29775606113; 15768.426844987762; 16238.14472081098; 14234.790482657152; 15475.887280075904; 88.12277149472226; 15906.610620418656; 748926.8985168516; 4933.329267576626; 4641.587534955455; 18.50496114447305
337.5; 1176435.3119545872; 207340.93987107038; 17736.466858518153; 16810.150054574926; 13900.928645300892; 15419.76258875103; 104.91608950179524; 15962.652952536659; 400621.79528381745; 5291.228607992893; 4564.026322548033; 29.13525986852533
506.25000000000006; 714863.3617386613; 130104.38898061354; 19417.86854372825; 27784.33842053782; 14012.915152131203; 15340.744183507017; 133.04529169190607; 15996.70115806665; 236692.70542171216; 5445.797615285285; 4682.427730332748; 21.75823999988044
675.0; 468232.9232915635; 91578.66999962766; 20174.295532407315; 16712.055445528633; 13944.006141924441; 15266.430816450584; 171.32962398444548; 16596.673513340094; 155020.50044553628; 5537.248630016065; 4613.687844547757; 42.463478035406446
843.7500000000001; 333353.01925394236; 70404.52550792742; 20786.71471435724; 16976.204210885106; 13590.83212072274; 15308.803649028838; 216.7212490970807; 16340.823507134815; 110020.88548013911; 5733.065016095758; 4529.579732626955; 52.87170408229334
1012.5000000000001; 252724.2278309943; 56925.047891110225; 21819.316107744573; 29555.20631472186; 13609.907063762976; 15526.744475259897; 276.1330729723081; 16637.430079796046; 82859.3538365266; 5808.436482560723; 4586.85253602409; 53.371399725035474
1181.25; 199305.32820791795; 49505.89552751815; 22227.169697831414; 17070.43888489185; 13510.137562614653; 15239.203790559695; 344.9669892767027; 16268.418653164894; 66517.07946667129; 5846.788307665026; 4460.012086175056; 70.31214721945685
1350.0; 160293.20798428397; 45196.671695107645; 22478.293859208847; 17757.027251880823; 13569.620707151074; 15423.55773112333; 427.1754527615177; 15954.724198326338; 53556.49699004372; 5875.849661061627; 4621.8476523115505; 90.22619282177625
1518.75; 132718.5653100619; 57056.582637306754; 23185.82214573956; 19389.04972107724; 13406.471843925585; 15502.705866362112; 511.7430512153404; 15728.725710682746; 44388.44365509588; 6126.410835294136; 4462.180953592671; 118.51609058586808
1687.5000000000002; 110571.70445931797; 35550.83565037733; 23538.8257750347; 17736.106734442958; 13181.150201443239; 15428.13814117869; 608.4989685405386; 15748.348537417563; 37570.74368704002; 6314.632076080302; 4409.3931038855535; 126.03086595079498
1856.25; 94423.37869017448; 32515.47601689771; 23571.024884613544; 20298.104619419235; 13252.64899505028; 15364.414924708764; 719.4807708938865; 15816.702984687276; 32296.514310238712; 5957.311525892544; 4505.930925714904; 156.60640772539782
2025.0000000000002; 81633.22940488756; 29978.840685507035; 24079.90091414563; 22581.30215401408; 13224.392842842224; 15347.971413932642; 843.5742115662383; 15665.175097415296; 27879.5916117934; 6027.0979974775855; 4428.688921787995; 173.3084155239089
2193.75; 71471.08981596024; 28487.335766137316; 24179.04249049298; 17680.22130835723; 13011.889425490715; 15431.140349790323; 961.2878394060778; 16123.312135422275; 24710.2407924233; 6080.403025930888; 4292.373144655263; 193.80235401955966
2362.5; 62595.13470211947; 27336.791307426873; 24039.87329974571; 20845.262914463026; 12894.63152388015; 15564.235418006541; 1097.5917641793155; 16220.551381168218; 21733.344082014042; 5964.055605034344; 4325.325392771974; 237.92267579653242
2531.25; 56171.784267534356; 26003.46645928862; 24411.322560794957; 25371.537524356132; 13086.152758480564; 15445.407967001207; 1268.527095199154; 16001.60071064821; 19498.816637571133; 6075.671261870909; 4351.423465717717; 260.1574307129106
2700.0; 49984.60901729479; 25080.912761604992; 23891.134577488054; 17555.61025390901; 13000.858895449439; 15356.330621456924; 1425.7459331345826; 15724.87331325792; 17482.61718923904; 5922.391603659496; 4195.707229469089; 298.89942547024765
2868.7500000000005; 45089.229665706516; 34544.34340332999; 22417.976830343818; 18816.339573567573; 12867.34173490368; 15337.72893777744; 1590.1784295812317; 15740.346119701846; 15638.978170477634; 5472.404208652766; 4320.620392089403; 344.49143601377665
3037.5; 41256.43528537464; 29869.96118608744; 21360.83387706586; 18400.82339321423; 12517.30344258581; 15456.460851464199; 1727.7327458899883; 15621.464567329367; 14702.87254832556; 5274.325438307906; 4242.218685496787; 361.6065447703001
3206.2500000000005; 37385.46080842445; 22799.208595220014; 21496.69798799456; 17332.147015833325; 12489.673938487882; 15322.643249362462; 1922.6942971808978; 15644.33310199094; 13472.508305278885; 5310.86196933593; 4210.736622086808; 395.09202813795554
3375.0000000000005; 34521.64307866553; 21783.714210489896; 21815.65385506069; 23308.074318131272; 12608.73125226369; 15387.472594214696; 2147.0074373579746; 15750.94918837855; 12368.901170723027; 5338.83370913966; 4237.069820719099; 437.5490682969498
3543.75; 31530.968252412866; 20378.055582122484; 22009.025307003558; 18627.78186577523; 12290.39996929625; 15382.088222009545; 2314.4426638681452; 15736.1815529335; 11181.971410025737; 5438.457129303215; 4069.242085638719; 458.3728738013934
3712.5; 28817.284257771928; 20058.19234183973; 22449.16504115725; 17845.567483779312; 12225.486723959963; 15261.39227039368; 2531.0440370274387; 15801.73217850108; 10527.614929360589; 5582.791981543376; 4021.3781137328724; 523.9972721204851
3881.2500000000005; 26879.83154053272; 20332.483930787213; 22697.842479100465; 28481.99445800407; 12005.101507718364; 15402.480282773406; 2725.1579124641876; 15833.030364386794; 9697.14875884104; 5479.2941558464345; 4039.122106492966; 552.0515215384468
4050.0000000000005; 24954.281253718244; 19363.692460329963; 22899.22731905184; 20007.85798817729; 11928.205050704002; 15277.654681878726; 2954.209928967873; 15747.502842441454; 9235.18274821827; 5734.722428270837; 3959.5787716867885; 621.5911232378273
4218.750000000001; 23043.400814890276; 19185.11902729295; 23033.90216201172; 18318.044652996876; 11824.605439803057; 15428.437688362505; 3189.8441858911106; 15855.654112070288; 8430.84564184002; 5660.699605164996; 3980.461585857111; 650.1028276766278
4387.5; 21303.164973476283; 39018.18262833374; 23315.424171314975; 22812.3086329702; 11652.237763718414; 15314.441188840738; 3417.0498681357267; 15898.911425432383; 8124.851598885846; 5977.757535394717; 3815.914847467879; 732.1028808994946
4556.25; 20285.80891107215; 19449.92292090208; 23804.925049139845; 18227.0780430264; 11446.346217789745; 15363.968472265367; 3634.4510826586056; 15818.234874373382; 7528.567541018685; 5935.309469225091; 3827.2852621292955; 789.8410772286685
4725.0; 18790.225813783058; 18600.267742255994; 23780.68298050098; 17732.88257632265; 11351.546590000165; 15478.78267557537; 3887.484933066703; 15802.30057471308; 7158.395709565798; 6023.668295664943; 3774.2680644572; 848.4780793875215
4893.750000000001; 17730.37940968135; 19517.80299912677; 24286.222303926952; 24394.788535899817; 11206.77751219037; 15554.770044849198; 4143.416675448926; 16295.127233717272; 6805.839766460425; 6217.655124976837; 3756.218589319088; 859.2838815118436
5062.5; 16578.236315165443; 18596.541551982456; 24547.971141888305; 17357.402276637076; 11072.866217105451; 15449.637971461267; 4404.7159877766235; 16136.69973508494; 6311.628357001009; 6159.714317877194; 3662.232254503859; 950.3506116919777
5231.25; 15531.389677224832; 18701.01360728435; 24676.594898629202; 17825.058149760393; 10869.699759250747; 15612.541027698628; 4643.055554217491; 16023.04972192778; 6044.283615443147; 6304.567712744251; 3549.81792368873; 972.7793360291164
5400.0; 14779.417787130591; 21905.999345128213; 25418.012226115403; 34147.395608083985; 10732.613228674787; 15307.766821115567; 4909.895062405866; 15819.445434355504; 5855.706248473135; 6326.847718177307; 3430.601628769605; 933.8642329148901
5568.750000000001; 14003.808702567907; 20236.720979441117; 25886.73608593224; 18123.617733342562; 10600.672427887492; 15468.7096118876; 5190.612704483704; 16032.271219503626; 5497.587561937906; 6471.920320816531; 3441.3987356253197; 1065.6595573160334
5737.500000000001; 13227.82737647416; 23617.710540596247; 26159.342854503306; 18989.508689767026; 10293.262462256393; 15432.364391891442; 5379.3645167075865; 15897.556923687502; 5317.338231523954; 6680.453599001625; 3458.9968362045024; 1090.90720268307
5906.25; 12464.764148096338; 39770.05823182052; 26115.897766292677; 24857.796222870875; 10148.399536800795; 15455.700146780082; 5656.582470713578; 15952.556035212463; 5159.32381600212; 6584.273413467877; 3444.4346155955536; 1201.4071084327556
6075.0; 11658.184262099992; 18176.36597114337; 26073.929333311193; 18059.406656672883; 10041.302987340605; 15325.047706185638; 5979.418374772641; 15984.288399695652; 4779.638566812651; 6577.143591303073; 3284.3681348333457; 1208.909778544417
6243.75; 11205.221975244642; 16964.19211011461; 26391.54676461023; 17870.480660229478; 9884.249232909697; 15458.468083995258; 6265.676980037648; 16032.619899313975; 4679.563909875611; 6624.054561044256; 3279.02500981054; 1325.7937279217135
6412.500000000001; 10588.685140050784; 17845.999137870935; 26684.54141956878; 21771.664503473232; 9727.488711714183; 15417.93159534976; 6543.599329929528; 15953.189524462496; 4422.370456464562; 6772.454379079392; 3278.3188211356232; 1370.3356030249565
6581.25; 10072.034116706998; 16105.121622207716; 27116.435022083962; 17549.71701665881; 9500.19498735565; 15372.354680238797; 6780.442230423185; 15949.755687811627; 4398.478611011179; 6974.336245863525; 3160.651764920694; 1479.8361086471232
