ell; auto_ch0; auto_ch1; auto_ch2; auto_ch3; auto_ch4; cross_ch0_ch1; cross_ch0_ch2; cross_ch0_ch3; cross_ch0_ch4; cross_ch1_ch2; cross_ch1_ch3; cross_ch1_ch4; cross_ch2_ch3; cross_ch2_ch4; cross_ch3_ch4
0.0; 1109623.5813640733; 3473904.9560864246; 3107633.572954903; 93675.37127885074; 8481.630195743004; 125036.19693257172; -862734.1389114108; 240845.2030607443; 42216.74221223146; -1083145.2460878703; 181877.05497846825; -27814.602438117796; -266577.80833365885; -6022.348036489362; 8884.638192552322
675.0; 334445.153170156; 560344.5913554317; 663520.7386739706; 25539.090638531783; 5131.925081283129; 1709.5090802502443; -218576.22204502538; 69285.684714488; 12308.892689776385; -5114.821846925997; 553.5596513704144; 38.865534478386294; -42108.62526579097; -8224.553772812973; 3914.120351160495
1350.0; 124023.0751279161; 217740.42359373666; 241994.07583742897; 12818.731294161553; 4506.593191275386; 220.52091443598593; -89319.52006570682; 25816.04307025689; 4668.71375005153; -775.2056087317662; 21.13712967353806; -38.677377364305606; -17188.82359812323; -3840.9711894799684; 1817.2668821303719
2025.0000000000002; 65125.39095519543; 106172.3409095316; 113352.39661321693; 8747.95976708884; 4324.380902155348; 242.01806415629989; -47447.90359881127; 13845.697195101; 2637.8002043227316; -526.9813479749869; 68.57961865306518; 18.091605444021944; -9313.968919258208; -2529.01411846737; 1133.620498407426
2700.0; 40905.45967145667; 59078.06730172083; 60828.27716489631; 7306.796400700159; 4238.410824488578; 61.97739664953253; -28339.813405671102; 8847.333227571897; 1819.409464319487; -183.2240513417852; -12.658981612597328; -10.966295840782061; -5654.099591624941; -1709.393929300852; 915.5248449710006
3375.0000000000005; 28451.590389123656; 35684.38115714258; 35762.54023253648; 6231.482653560119; 4197.157688752848; -52.67969112177315; -18245.691475280957; 6279.380228613593; 1365.260673759867; -38.39482833126252; -18.396554769907787; -3.8572938367535787; -3735.728187195431; -1191.7797325908562; 730.1406258607482
4050.0000000000005; 21085.479874161407; 23130.479073445087; 22469.03094478032; 5726.498072735504; 4193.996569810758; 30.82027718745291; -12332.737709502422; 4734.797899750274; 1120.6577664201081; -82.16624449067409; 16.081226664743017; -14.514144789917088; -2574.700078833091; -873.1046787933277; 672.2403570689883
4725.0; 16380.961566541517; 15755.416954517359; 14923.661327203907; 5495.8637086099; 4155.943100273395; 20.36098497738995; -8657.95750486734; 3778.5619303779995; 938.5696035657687; -77.09876878795288; 13.144536675865277; 4.383662762082133; -1828.0951759422364; -621.7070061160939; 634.3348226379157
5400.0; 13126.242416363966; 11324.717004667207; 10438.85963597299; 5300.096216925556; 4155.742302572928; 16.412559352879036; -6298.948798318256; 3117.311700398217; 823.5782777845826; -51.95282833712953; 21.838001281577434; -4.740840297565732; -1321.1424797040784; -469.2927353317566; 600.090096520641
6075.0; 10760.03886515437; 8401.971779490725; 7600.697918685218; 5267.535380625197; 4165.065144971311; 2.3305763154806907; -4680.0203248989155; 2655.5297126594755; 723.5858997377696; -32.465427548156555; 18.214200461339818; -10.644325362352388; -962.210881212923; -327.3577696268708; 623.3364504313998
6750.000000000001; 8989.57484763028; 6468.417358299347; 5742.154357398257; 4591.6429930547365; 4120.288163591784; -10.529565760449616; -3586.9475417244885; 2309.8583571374115; 640.0825656638827; -24.666885661401412; 2.3195150071692763; -1.8818126632286707; -707.7620034524373; -245.62651474080306; 491.5410178825219
7425.0; 7627.887187224344; 5161.535215117281; 4472.597778858467; 4819.86264664003; 4150.188334961499; 4.815190795735945; -2808.642441431842; 2057.5000391031595; 569.6251382016878; -26.94873011845027; 11.300842611979348; -3.3028318413814444; -528.7632050704783; -190.64320211033242; 548.4086285073606
8100.000000000001; 6520.076455590548; 4189.218830540191; 3581.320882522757; 4336.617999503848; 4104.0366447402885; 11.370156927572939; -2252.358295026338; 1845.1128878089376; 506.77337634605186; -23.52840097934396; 5.2648070434908725; 4.198958069458595; -405.31296175410864; -144.88884593480998; 456.5315677272984
8775.0; 5636.552525901119; 3477.7686376283873; 2934.0876210552638; 4583.581836758211; 4142.335394995526; 5.215865965383988; -1828.479494607144; 1681.4259842215217; 469.1842237487246; -23.623722621138523; 5.654609569325478; 3.4497002166995063; -304.6557996081586; -111.69617142963433; 528.9508198069574
9450.0; 4932.9074557729955; 2969.0528626553423; 2455.3818093406567; 4162.786122937577; 4114.850022532294; 5.417572334301751; -1510.1511656414725; 1553.8660906840091; 429.96148415060395; -17.55637828287513; 1.7761714295501208; -0.2938340037686873; -234.13639801953585; -98.16430277121984; 434.09444008873663
10125.0; 4349.935266912696; 2542.6768696261975; 2085.3060133113786; 4373.846493365097; 4104.480775268191; -1.4200775421810787; -1276.943345610864; 1420.652936550025; 399.292476724171; -13.359151070671903; 2.597768158082116; 1.3352957271329018; -185.05027156394596; -83.66963910849154; 481.4437342038606
10800.0; 3844.3549816541454; 2204.463573431572; 1789.2099990746462; 4184.466349990087; 4096.809093273842; 3.3261271323041326; -1088.9455346510863; 1319.0382196622716; 367.9385292022215; -12.939873614465107; 1.797130142408088; 1.2594096175972007; -157.20773813840302; -78.45491607081799; 447.32325617469496
11475.000000000002; 3431.0045708104467; 1928.9906803060553; 1552.992257888336; 4395.137004867148; 4107.634945839372; 5.901621379882247; -935.0045426173306; 1241.7831152386434; 337.44104464403966; -13.811352881383275; 0.015357841735922341; 2.6428516726528395; -139.5606270226028; -64.50078779225512; 492.2125158895407
