ell; low_auto_ch0; high_horizontal_auto_ch0; high_vertical_auto_ch0; high_diagonal_auto_ch0
0.0; 206896.06709638462; 1349.6825735406512; 1339.5620019998496; 38.177028946237975
675.0; 44119.9264784059; 3187.337375129095; 831.3826764491231; 47.29829589007436
1350.0; 16021.808468585303; 4347.7715334477625; 540.1070540688344; 64.50904250943265
2025.0000000000002; 7454.680673835538; 4464.2993459948975; 402.0267776811598; 85.53044237482706
2700.0; 3967.910047731634; 4154.291265308477; 324.8102015100311; 109.92003743349053
3375.0000000000005; 2313.76810293396; 3679.0184340696715; 275.4872572112235; 138.01534068736385
4050.0000000000005; 1444.4377122312524; 3217.798206202719; 241.08616152291194; 170.0262433050334
4725.0; 956.6126561689734; 2820.819195869334; 215.7753233105846; 206.07953134554398
5400.0; 670.701605470293; 2500.300151642221; 194.82488541475826; 245.29488698021197
6075.0; 493.2804201312913; 2243.6746458988828; 176.25456821219353; 286.35073707596536
6750.000000000001; 379.9744309891556; 2052.0163594074183; 159.5082795995165; 327.8013198639322
7425.0; 305.418473747971; 1905.7659075371157; 146.38388122316468; 374.66204998123203
8100.000000000001; 256.0430233282622; 1802.7148413655955; 135.0956657797523; 422.1186915704585
8775.0; 223.54315344291197; 1734.67322830359; 126.22136242820207; 470.96559166077975
9450.0; 203.0430960896161; 1694.6614326769827; 123.24373550048158; 541.7089323171739
10125.0; 191.7723060723173; 1677.9682952790445; 129.4419555262642; 646.5271691938246
10800.0; 187.93065876583668; 1673.1508663852596; 134.03796660322598; 692.7583412420639
675.0; 44486.75247071403; 838.0309884909269; 3187.7300546053925; 47.34515925063124
954.5941546018391; 25744.997363196944; 2280.6106685499963; 2264.4764967073397; 71.0139366162403
1509.345884812358; 11970.615848150881; 3644.422442100369; 1306.9288969343268; 105.53873523294423
2134.537420613656; 6040.6480089445695; 4028.796232135684; 810.7058381727647; 132.89060988954526
2783.096297291921; 3307.6168434838128; 3870.847640383106; 555.8973813945936; 157.14923149112937
3441.8381716751305; 1930.6330254401437; 3474.4004634626353; 412.85808656565285; 181.52023226757538
4105.864707951298; 1198.492209456615; 3096.570984814215; 327.9592237916391; 210.49820982369974
4772.970773009196; 783.2700198754424; 2741.522270181338; 273.2395915830829; 243.41076648613526
5442.023980101521; 535.1954094564214; 2438.2143537703273; 234.26043429149314; 279.52643193817505
6112.384968242756; 383.08481345748095; 2196.503108523154; 204.69073477539695; 319.32941043251424
6783.666044256602; 287.42515238939916; 2017.271483222029; 181.7302189781534; 361.75559556137836
7455.618686601401; 224.0510642363417; 1876.581856389336; 163.13523630543958; 406.29641282810775
8128.0763406848; 182.7872474059026; 1778.9569386203807; 148.7987795526407; 457.41761357932353
8800.923247023577; 155.53283053369222; 1712.4817695467973; 140.5230161653039; 537.0394769002639
9474.076472142286; 138.34572076507405; 1677.3359724104046; 135.72152534593636; 601.9726609339563
10147.475055401714; 128.94927495872565; 1661.9001967095503; 127.19539498853588; 614.1328390577012
10821.073190769943; 125.88394552267445; 1649.8524996279561; 122.70185845589744; 608.0558129013533
1350.0; 16129.939405383988; 543.9298099089035; 4339.431531292221; 64.55884251439821
1509.345884812358; 12025.419565967513; 1320.156394785146; 3633.603286563535; 105.56493839261836
1909.1883092036783; 7323.596165535036; 2479.417558426833; 2461.5722521058265; 178.15557507748667
2433.747110938193; 4281.798822875011; 3106.8488564263703; 1587.241850996121; 233.59345958623953
3018.691769624716; 2523.1885340909093; 3202.2617818850067; 1046.0548167312988; 267.2567728023272
3634.9862448157905; 1535.7653723981607; 3020.88222100629; 725.8018575848773; 291.94375070730536
4269.074841227312; 966.7142743035893; 2762.5290070642905; 530.7104332114219; 315.859664753887
4914.07417526435; 636.2132917115053; 2509.5538013027385; 409.3832171369603; 344.01919624898153
5566.192594583842; 432.18301541953656; 2264.3628619575616; 327.89717942226235; 375.4406964346941
6223.192508672699; 306.83687493138024; 2072.075419054246; 273.13913340187; 412.8516596058172
6883.676343350261; 225.2489425163264; 1916.0696900996163; 230.62998668582566; 451.78987861402715
7546.72942406179; 172.30334425716114; 1802.637660032793; 200.70067396402104; 512.2689228247912
8211.729415902597; 137.028907303798; 1712.2914053210557; 178.26548244590697; 593.1514862013697
8878.238845626985; 114.37843572086595; 1661.3837825244282; 157.62208162787297; 620.9980334550348
9545.941546018392; 99.74619542452658; 1624.1874377378222; 140.81461659355693; 621.5457765393706
10214.603516534551; 91.78441836979941; 1610.450360309355; 132.78368375559685; 623.0858001025869
10884.047960203043; 89.14881315519575; 1603.1446381198118; 130.42049250876792; 624.2098605279548
2025.0000000000002; 7533.56702379829; 404.7858181120784; 4488.703470800999; 85.28899736369905
2134.537420613656; 6078.389206979913; 820.1586650124818; 4021.0255671764835; 132.94147174889102
2433.747110938193; 4280.341537740705; 1598.3260998815056; 3079.9263479801866; 232.9488415044544
2863.7824638055176; 2829.329163826759; 2199.1274345477304; 2181.2146782789214; 325.3341507657021
3375.0; 1815.9973039648276; 2444.112079297072; 1509.244765718727; 384.433215238204
3935.8925290205784; 1171.4861143810056; 2441.4867972212296; 1058.7340350921415; 422.0992251205856
4528.037654437075; 767.6774527300746; 2333.1875023005196; 765.806061985469; 451.5818223739465
5140.6468464581385; 516.4169968181183; 2185.546362982912; 575.8263370614163; 480.9638547454737
5767.202528089333; 357.4112661359031; 2033.992420266109; 445.5983513288529; 510.99020327075
6403.612261840968; 254.1291401309147; 1888.3118655786136; 351.519973541949; 542.5869836885713
7047.206893514623; 187.4104412475699; 1779.112206419172; 283.315378166739; 603.8211953431914
