ell; low_auto_ch0; low_auto_ch1; high_horizontal_auto_ch0; high_horizontal_auto_ch1; high_vertical_auto_ch0; high_vertical_auto_ch1; high_diagonal_auto_ch0; high_diagonal_auto_ch1; low_cross_ch0_ch1; high_horizontal_cross_ch0_ch1; high_vertical_cross_ch0_ch1; high_diagonal_cross_ch0_ch1
0.0; 93944.53966572987; 20584.7437327398; 993.5719409924967; 1030.7681586660426; 1001.4313321908612; 1160.5169944384193; 20.5636468837034; 998.9348642962967; 32863.315583936936; 299.121096257452; 321.2759972013277; 3.672247990571951
675.0; 29134.40301314104; 5571.4504469046; 1226.2320138406653; 1130.5976766469462; 920.7218032008092; 974.2098719010652; 26.88494651946452; 1025.1060475416266; 9584.057986906235; 342.59847024603886; 283.3643890184685; 5.52809960780654
1350.0; 10706.659066719669; 2858.28015725584; 1353.0540237924135; 1073.5090239292617; 871.8439644430271; 951.3784023091696; 42.478256090169104; 1005.5732351612455; 3598.2736246537906; 354.5617346247657; 291.20705166741095; 12.41620578819823
2025.0000000000002; 5741.829609491221; 1985.1009946588592; 1491.9445277985849; 1066.5206561368473; 856.2741849566742; 973.6508873613731; 69.24294651764077; 987.6574900086051; 1979.8319717485522; 393.79744935239916; 277.1964994988447; 11.871293343792592
2700.0; 3325.5061940998535; 1612.319755805123; 1458.3852908029874; 1099.6805810260457; 818.2568524329835; 947.5320720520286; 104.1279668719363; 1004.9447759686196; 1180.7730702505257; 382.4773047049535; 262.40560413155936; 19.411576449902714
3375.0000000000005; 2404.4819279473777; 1358.2979527363875; 1405.9939607950757; 1083.8957498752368; 769.4131748786305; 957.3555186210065; 146.16599365814187; 987.1992556976975; 823.4913973359187; 337.9120422388655; 260.50445268144495; 34.27832762690374
4050.0000000000005; 1707.6777828861066; 1225.8405337993534; 1417.694985609593; 1145.280575748496; 735.4799558500282; 944.7695319317228; 199.57185307089458; 1018.3826736389543; 622.8532737100301; 348.20031811425775; 241.99755137743907; 49.808503191210846
4725.0; 1314.9088113782013; 1187.8011161455609; 1490.3042333558685; 1170.842098232601; 710.8876742623571; 953.2597167456173; 259.39123560334116; 1006.313974343382; 483.73644415252244; 399.0031513755142; 244.09687089610614; 60.10187798777283
5400.0; 1020.7977204967036; 1173.5761225543527; 1562.482565847693; 1182.8258983714488; 676.0835187225773; 964.0404123250523; 326.54840418420446; 985.8188171772347; 394.4222185876445; 399.5142792479096; 233.6593829581488; 65.8842861518513
6075.0; 839.7148983574464; 1147.6631209615066; 1646.0326333071698; 1110.603537409932; 620.2217316650823; 931.4670226815755; 387.1321128517604; 972.0648558618003; 334.32043475530435; 411.7735416052676; 191.1526677088428; 72.62190197157301
6750.000000000001; 698.2467229167842; 994.5316500195214; 1697.5790667929027; 1154.1698248666999; 601.1330911004701; 950.3550634898274; 471.7820363145045; 968.5653209324682; 295.4227440126458; 451.68155156952594; 189.26098597409506; 100.12825890702871
7425.0; 580.1190932325014; 1028.2776558811775; 1755.5296026106616; 1116.8410790750238; 542.9121415428561; 962.6179428514606; 534.6136999060274; 971.4921085196551; 265.76178107015147; 465.94474581770277; 182.23031192032406; 109.28537523718785
8100.000000000001; 499.76988719858906; 963.6394163978131; 1737.934117609759; 1113.6738752226725; 504.7206645947423; 977.0331768446558; 613.3735839377026; 998.0269003736156; 246.55607962318945; 451.07667294672365; 172.5055999704554; 118.84750606098694
8775.0; 443.7656504127265; 963.5470867259646; 1818.9510354583545; 1116.3924249224706; 460.3016821435591; 966.0740114939889; 692.4504422672026; 998.3445891427705; 221.25100452401477; 516.2500306918093; 151.05609683763018; 145.4251029168509
9450.0; 414.6980106182244; 942.4862709134696; 1802.5450110504762; 1098.7789914870957; 447.0030624417306; 1025.7698989619098; 836.5554738231712; 1065.1517182273412; 215.28849426534103; 489.297413961497; 150.20555049312878; 155.55870006579684
10125.0; 376.4749709210068; 978.927856363415; 1819.7588500803872; 1154.4408266973753; 482.36070036144247; 996.436184522228; 1117.0176005627775; 1070.5532160212892; 196.59909782542644; 458.68965780211215; 150.95567213973393; 215.34482302279127
10800.0; 386.4663981797537; 942.9144233609385; 1815.0275906417019; 1136.1720140529085; 526.4755553901045; 967.3650178777038; 1307.6229591009267; 1043.0367922478772; 189.9576758102111; 474.73754060136747; 174.68688019194215; 255.48617807194495
675.0; 29265.1594942812; 5652.844148145589; 917.9286789036468; 976.1837437083606; 1247.160015635085; 1424.8031621192008; 26.334930635023326; 1029.687145236872; 9648.226976011982; 290.83656917470773; 346.8682360326935; 5.862223075983983
954.5941546018391; 16584.490650422114; 3670.3811183238904; 1106.9503898933854; 994.4894318742603; 1124.825775753665; 957.0920207508041; 33.84440540973604; 995.3089382077886; 5495.020444547892; 323.57835687239617; 312.16617883020706; 6.104989129282289
1509.345884812358; 7903.58263160269; 2309.305151053926; 1273.7939398273218; 1006.7934014677744; 986.8184628532949; 970.3169455133914; 49.12014022850144; 983.7953531097644; 2627.0751724116053; 356.3809363633487; 310.8196243671683; 10.705923575745379
2134.537420613656; 4619.429847207709; 1754.4801384618092; 1398.9856494301687; 1006.951813646576; 936.7003099462067; 965.6821522381827; 77.52065357208271; 979.63508262714; 1607.1210700809222; 360.69979806576055; 307.2096989548411; 9.94292174576148
2783.096297291921; 2995.146340851803; 1478.684974936924; 1401.1738291163185; 1020.396808673173; 861.0520819918596; 991.0855565411567; 113.72804201518964; 995.0289957086293; 1086.9284446282993; 356.109289628905; 270.943323165671; 18.471045234512886
